日ID,日序,周次,阶段,Primary LQ,Secondary LQ,周次功能,核心生命问题,生命痛点,今日核心经文,P证据,L证据,J证据,NT-DIS原则,一句话主题,日类型,每日核心信息,今日反思入口,今日自我选择,今日实践,关系/伙伴反馈,使命连接,生命果子,证据等级,内容状态
W24D05,5,24,II 重新连接,LQ05,—,参与身体,我怎样成为群体中的人？,习惯旁观、接受服务，却很少贡献时间、恩赐和责任。,约17：20-23,罗12：4-8,路9：1-6,约17：20-23,看见位置→参与→服事,你不是旁观者，而是基督身体的一部分。,行动,把今天的回应缩小成一个可执行动作：本周把一项能力用于共同益处，而非个人成果。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周把一项能力用于共同益处，而非个人成果。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从消费者转向肢体成员,A,待编写
W24D06,6,24,II 重新连接,LQ05,—,参与身体,我怎样成为群体中的人？,习惯旁观、接受服务，却很少贡献时间、恩赐和责任。,罗12：4-8,罗12：4-8,路9：1-6,约17：20-23,看见位置→参与→服事,你不是旁观者，而是基督身体的一部分。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴记录一次主动承担。,如果没人邀请我，我有没有主动参与？,贡献自己的时间、能力与关怀,从消费者转向肢体成员,A,待编写
W24D07,7,24,II 重新连接,LQ05,—,参与身体,我怎样成为群体中的人？,习惯旁观、接受服务，却很少贡献时间、恩赐和责任。,林前12：12-27,罗12：4-8,路9：1-6,约17：20-23,看见位置→参与→服事,你不是旁观者，而是基督身体的一部分。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴记录一次主动承担。,把这一周的学习带进下一周，而不是停在课程结束。,从消费者转向肢体成员,A,待编写
W25D01,1,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,约13：1-17,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,看见,先看见自己正在经历的“爱一个人到底意味着什么？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“爱一个人到底意味着什么？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从感觉中的爱进入可见的爱,A,待编写
W25D02,2,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,罗12：10,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,挖根,今天往里走一步：当“爱一个人到底意味着什么？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从感觉中的爱进入可见的爱,A,待编写
W25D03,3,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,约13：1-17,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,回经文,回到约13：1-17：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“爱一个人到底意味着什么？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用约13：1-17安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从感觉中的爱进入可见的爱,A,待编写
W25D04,4,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,约13：1-17,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,对照,把自己的旧习惯与新约的方向放在一起看：爱不是只在心里关心，而是愿意为别人做具体的事。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：爱不是只在心里关心，而是愿意做具体的事。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从感觉中的爱进入可见的爱,A,待编写
W25D05,5,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,约一3：16-18,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,行动,把今天的回应缩小成一个可执行动作：一周内主动完成一次隐藏式服事。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：一周内主动完成一次隐藏式服事。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从感觉中的爱进入可见的爱,A,待编写
W25D06,6,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,罗12：10,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴不追问功劳，只问是否做了。,对方真正需要的是我说什么，还是我做什么？,让服事成为关系语言,从感觉中的爱进入可见的爱,A,待编写
W25D07,7,25,II 重新连接,LQ05,LQ06,把爱做出来,爱一个人到底意味着什么？,心里关心很多，但真正付出的时间与行动很少。,约13：1-17,罗12：10,约13：1-17,约一3：16-18,感受→具体行动→坚持,爱不是只在心里关心，而是愿意做具体的事。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴不追问功劳，只问是否做了。,把这一周的学习带进下一周，而不是停在课程结束。,从感觉中的爱进入可见的爱,A,待编写
W26D01,1,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,约15：1-5,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,看见,先看见自己正在经历的“归属不是参加，而是住在基督里”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“归属不是参加，而是住在基督里”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从群体出席转向与基督联合,A,待编写
W26D02,2,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,罗12：4-5,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,挖根,今天往里走一步：当“归属不是参加，而是住在基督里”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从群体出席转向与基督联合,A,待编写
W26D03,3,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,约15：1-5,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,回经文,回到约15：1-5：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“归属不是参加，而是住在基督里”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用约15：1-5安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从群体出席转向与基督联合,A,待编写
W26D04,4,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,路10：38-42,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,对照,把自己的旧习惯与新约的方向放在一起看：真正的归属不仅是参加一个群体，更是持续住在基督里，并在群体中结果子。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：归属不只是参加，而是住在基督里。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从群体出席转向与基督联合,A,待编写
W26D05,5,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,约15：1-8,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,行动,把今天的回应缩小成一个可执行动作：本周固定同一时间用一段经文安静、祷告、回应。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周固定同一时间用一段经文安静、祷告、回应。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从群体出席转向与基督联合,A,待编写
W26D06,6,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,罗12：4-5,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴只问“你如何回到基督？”,我什么时候最像“参加者”，什么时候最像“住在基督里的人”？,让联合基督带出群体生命,从群体出席转向与基督联合,A,待编写
W26D07,7,26,II 重新连接,LQ05,LQ04,住在基督里,归属不是参加，而是住在基督里,即使参加群体，也可能把信仰当成活动而非生命关系。,约15：1-5,罗12：4-5,路10：38-42,约15：1-8,归属→住在→结果,归属不只是参加，而是住在基督里。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴只问“你如何回到基督？”,把这一周的学习带进下一周，而不是停在课程结束。,从群体出席转向与基督联合,A,待编写
W27D01,1,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,腓1：20-21,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,看见,先看见自己正在经历的“我的生命为什么而活？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我的生命为什么而活？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从我的人生转向神所托付的人生,A,待编写
W27D02,2,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,林后5：14-15,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,挖根,今天往里走一步：当“我的生命为什么而活？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从我的人生转向神所托付的人生,A,待编写
W27D03,3,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,腓1：20-21,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,回经文,回到腓1：20-21：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我的生命为什么而活？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用腓1：20-21安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从我的人生转向神所托付的人生,A,待编写
W27D04,4,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,路9：23-25,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,对照,把自己的旧习惯与新约的方向放在一起看：生命意义不是由成就、快乐或拥有最终定义，而是从基督而来并向使命开放。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：不要只问我要得到什么，也问我的生命正在为谁而活。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从我的人生转向神所托付的人生,A,待编写
W27D05,5,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,约20：21,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,行动,把今天的回应缩小成一个可执行动作：本周为一个超越自己需要的人安排实际时间。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周为一个超越自己需要的人安排实际时间。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从我的人生转向神所托付的人生,A,待编写
W27D06,6,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,林后5：14-15,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴问“这一周你为谁活了一点？”,如果把人生从“我要得到”改成“我要成为谁的祝福”，我的安排会怎样变？,把使命放进日常而非额外活动,从我的人生转向神所托付的人生,A,待编写
W27D07,7,27,III 进入生活,LQ08,LQ03,重新定位人生,我的生命为什么而活？,成年生活很容易只围绕收入、家庭稳定、个人成长和退休准备。,腓1：20-21,林后5：14-15,路9：23-25,约20：21,定位→献上→进入,不要只问我要得到什么，也问我的生命正在为谁而活。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴问“这一周你为谁活了一点？”,把这一周的学习带进下一周，而不是停在课程结束。,从我的人生转向神所托付的人生,A,待编写
W28D01,1,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,西3：23-24,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,看见,先看见自己正在经历的“工作只是为了赚钱吗？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“工作只是为了赚钱吗？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从挣钱功能转向忠心服事,A,待编写
W28D02,2,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,林前7：17,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,挖根,今天往里走一步：当“工作只是为了赚钱吗？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从挣钱功能转向忠心服事,A,待编写
W28D03,3,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,西3：23-24,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,回经文,回到西3：23-24：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“工作只是为了赚钱吗？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用西3：23-24安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从挣钱功能转向忠心服事,A,待编写
W28D04,4,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,路16：1-13,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,对照,把自己的旧习惯与新约的方向放在一起看：工作是神托付生活的一部分，不只是收入，也涉及忠心、品格与服事。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：工作不只是收入，也是忠心生活的一部分。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从挣钱功能转向忠心服事,A,待编写
W28D05,5,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,约15：8,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,行动,把今天的回应缩小成一个可执行动作：本周把一项容易敷衍的工作认真做好。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周把一项容易敷衍的工作认真做好。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从挣钱功能转向忠心服事,A,待编写
W28D06,6,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,林前7：17,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴问“你的工作今天祝福了谁？”,我的工作价值只由薪资衡量吗？,让职业成为见证与邻舍祝福,从挣钱功能转向忠心服事,A,待编写
W28D07,7,28,III 进入生活,LQ03,LQ06,重新理解工作,工作只是为了赚钱吗？,工作常被分成“挣钱”和“属灵服事”，彼此隔开。,西3：23-24,林前7：17,路16：1-13,约15：8,理解→重估→实践,工作不只是收入，也是忠心生活的一部分。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴问“你的工作今天祝福了谁？”,把这一周的学习带进下一周，而不是停在课程结束。,从挣钱功能转向忠心服事,A,待编写
W29D01,1,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,罗12：1-2,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,看见,先看见自己正在经历的“我怎样辨明神的旨意？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我怎样辨明神的旨意？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从求确定转向成熟分辨,A,待编写
W29D02,2,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,献上身体→心意更新→察验旨意,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,挖根,今天往里走一步：当“我怎样辨明神的旨意？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从求确定转向成熟分辨,A,待编写
W29D03,3,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,罗12：1-2,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,回经文,回到罗12：1-2：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我怎样辨明神的旨意？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用罗12：1-2安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从求确定转向成熟分辨,A,待编写
W29D04,4,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,路12：22-34,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,对照,把自己的旧习惯与新约的方向放在一起看：辨明神旨意不只是寻找答案，而是让生命被福音更新后学习分辨何为善、可喜悦、纯全。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：辨明神旨意，不只是找答案，而是让生命先被更新。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从求确定转向成熟分辨,A,待编写
W29D05,5,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,约8：31-32,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,行动,把今天的回应缩小成一个可执行动作：不急着追求确定感，先做今天已经清楚的忠心选择。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：不急着追求确定感，先做今天已经清楚的忠心选择。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从求确定转向成熟分辨,A,待编写
W29D06,6,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,献上身体→心意更新→察验旨意,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴只帮忙澄清，不替人做决定。,我是在寻求神，还是在寻求一个让我安心的答案？,帮助别人也学会自己分辨,从求确定转向成熟分辨,A,待编写
W29D07,7,29,III 进入生活,LQ03,LQ08,辨明旨意,我怎样辨明神的旨意？,面对选择，希望得到一个神秘、明确、立即的答案。,罗12：1-2,献上身体→心意更新→察验旨意,路12：22-34,约8：31-32,更新→分辨→选择,辨明神旨意，不只是找答案，而是让生命先被更新。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴只帮忙澄清，不替人做决定。,把这一周的学习带进下一周，而不是停在课程结束。,从求确定转向成熟分辨,A,待编写
W30D01,1,30,III 进入生活,LQ06,LQ05,家庭门训,家庭可以成为门训的地方吗？,信仰常被留在礼拜堂，家庭只处理成绩、钱、家务和冲突。,弗6：1-4,家庭中的养育与主的教训,路2：41-52,约15：9-17,连接→实践→陪伴,家庭关系本身，就是跟随基督的地方。,看见,先看见自己正在经历的“家庭可以成为门训的地方吗？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“家庭可以成为门训的地方吗？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从家庭功能转向家庭门训,A,待编写
W30D02,2,30,III 进入生活,LQ06,LQ05,家庭门训,家庭可以成为门训的地方吗？,信仰常被留在礼拜堂，家庭只处理成绩、钱、家务和冲突。,家庭中的养育与主的教训,家庭中的养育与主的教训,路2：41-52,约15：9-17,连接→实践→陪伴,家庭关系本身，就是跟随基督的地方。,挖根,今天往里走一步：当“家庭可以成为门训的地方吗？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从家庭功能转向家庭门训,A,待编写
W30D03,3,30,III 进入生活,LQ06,LQ05,家庭门训,家庭可以成为门训的地方吗？,信仰常被留在礼拜堂，家庭只处理成绩、钱、家务和冲突。,弗6：1-4,家庭中的养育与主的教训,路2：41-52,约15：9-17,连接→实践→陪伴,家庭关系本身，就是跟随基督的地方。,回经文,回到弗6：1-4：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“家庭可以成为门训的地方吗？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用弗6：1-4安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从家庭功能转向家庭门训,A,待编写
